Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,Actual Labels,Predicted Labels,,,Accuracy,,Definition
linear probe classification,,,General‑purpose large language model (general model),1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
zero shot classification,,,general Application Programming Interface based models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
1 vs all auc,,,frozen model,1,0,1,0,,,,,,,Optimization/Training Method,Model/Architecture,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
clinical reasoning,,,agentic settings,1,0,1,0,,,,,,,Optimization/Training Method,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
biomedical knowledge,,,large models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
,,,multimodal capabilities,,,1,0,,,,,,,Model/Architecture,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,medical image retrieval,,,1,0,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,clinical information,,,1,0,,,,,,,Dataset/Benchmark,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,imaging reports,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,clinical notes,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,matching patients for clinical trials,,,1,0,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,pharmacovigilance reviews,,,1,0,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,The Cancer Genome Atlas research network,,,1,0,,,,,,,Model/Architecture,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,rl tuning,,,1,0,,,,,,,Optimization/Training Method,Optimization/Training Method,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Medical Generative Model for Medical Applications (brand name) 4b multimodal,,,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,27 Billion Parameters text only,,,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,chest imagenome,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,CheXpert dataset Chest X‑Ray,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,dermmcqa,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,pathmcqa,,,0,1,,,,,,,Dataset/Benchmark,Metric/Evaluation,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,slakevqa,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
